,name,OName,Group,Per,E_Per,e_Per,Rp,E_Rp,e_Rp,age,E_age,e_age,Teff,logg,flag,stmass,Validation,Gaia_id
30,EPIC 204489514.01,Upper Sco        ,Group 45,10.2236,0.0024,0.0024,132.0,58.0,-58.0,7.079457844,1.431922538,1.19102129,6960.0,4.05,K2,,YES,6243332381812183296
31,EPIC 204579445.01,                 ,Group 689,24.6842,0.0025,0.0023,2.49,0.53,-0.23,501.1872336,144.4669954,112.1420886,,,K2,,NO,6243360762955797888
32,EPIC 204791347.01,Upper Sco        ,Group 45,1.94297,0.000142,0.000252,2.571,0.161,-0.164,7.079457844,1.431922538,1.19102129,3197.0,4.85,K2,0.49,YES,6243676322792317952
33,EPIC 211754962.01,                 ,Group 211,3.41065,0.00029,0.00027,1.65,0.25,-0.53,275.4228703,96.11235876,71.24907587,,,K2,,NO,655814297483693568
34,EPIC 211799258.01,NGC 2632         ,Group 1184,19.53403,0.000238,0.000239,12.7,6.0,-5.1,602.5595861,173.6875306,134.8244448,,,K2,,YES,659086512807199232
35,EPIC 216357880.01,                 ,Group 303,11.86386,0.00082,0.00083,2.21,0.16,-0.35,151.3561248,57.57348824,41.70830523,,,K2,,NO,4080751163553630336
36,EPIC 219388192.01,Ruprecht 147     ,Group 1531,5.292627,1.9e-05,1.9e-05,10.98,0.65,-0.22,1412.537545,365.7418654,290.5190903,,,K2,,NO,4087782677845919744
37,K00820.01,NGC 6819         ,Group 7522,4.64090031,1.49e-05,1.49e-05,30.09,5.79,3.14,1862.087137,649.7992948,481.7028721,6463.0,4.5,Kepler,0.786,NO,2076485162844678784
38,K02272.01,NGC 6811         ,Group 5603,1.34145255,1.31e-05,1.31e-05,1.31,0.28,0.46,691.8309709,139.9328002,116.3910336,7495.0,3.926,Kepler,1.754,YES,2128119878147696256
39,K02899.01,NGC 6819         ,Group 7522,5.77207177,4.13e-05,4.13e-05,1.54,0.31,0.15,1862.087137,649.7992948,481.7028721,5591.0,4.559,Kepler,0.977,NO,2076326455214939776
40,K07628.01,                 ,Group 316,1.8134378,2.64e-05,2.64e-05,0.69,0.09,0.06,102.3292992,38.92445523,28.1982751,5094.0,4.618,Kepler,0.743,NO,2052587243251659392
41,K04363.01,NGC 6811         ,Group 5603,18.22211768,8.4e-05,8.4e-05,7.45,1.99,1.22,691.8309709,139.9328002,116.3910336,5162.0,4.411,Kepler,0.862,YES,2128146610024320768
42,K04567.01,                 ,Group 7071,14.74426,0.000298,0.000298,8.1,2.69,0.89,1412.537545,492.9231733,365.4089966,6146.0,4.454,Kepler,1.006,NO,2081871906523180672
43,K03337.01,                 ,Group 7834,11.16622885,9.66e-05,9.66e-05,1.56,0.37,0.13,2344.228815,675.7229051,524.5279567,5552.0,4.562,Kepler,0.931,NO,2078080348055864960
44,K05635.01,UBC143           ,Group 3728,113.993156,0.00264,0.00264,2.23,0.82,0.58,257.0395783,97.77381096,70.83086461,7892.0,3.921,Kepler,1.894,NO,2085198277096414464
45,K05512.01,NGC 6866         ,Group 4895,8.5852872,0.000104,0.000104,3.02,0.74,0.25,489.7788194,155.8754097,118.2435903,5488.0,4.57,Kepler,0.913,NO,2081884933168896640
46,K04567.02,                 ,Group 7071,4.67250377,3.84e-05,3.84e-05,1.11,0.37,0.12,1412.537545,492.9231733,365.4089966,6146.0,4.454,Kepler,1.006,NO,2081871906523180672
