,name,OName,Group,Per,E_Per,e_Per,Rp,E_Rp,e_Rp,age,E_age,e_age,Teff,logg,flag,stmass,Validation,Gaia_id
79,Kepler-411 b,                 ,Group 1275,3.005156,2e-06,2e-06,2.401,0.053,-0.053,794.3282347,302.1499614,218.8882974,,,Kepler,0.87,YES,2132768952604988672
80,Kepler-411 c,                 ,Group 1275,7.834435,2e-06,2e-06,4.421,0.062,-0.062,794.3282347,302.1499614,218.8882974,,,Kepler,0.87,YES,2132768952604988672
81,Kepler-411 d,                 ,Group 1275,58.02035,0.00056,0.00056,3.319,0.104,-0.104,794.3282347,302.1499614,218.8882974,,,Kepler,0.87,YES,2132768952604988672
82,Kepler-432 b,                 ,Group 7995,52.501129,6.7e-05,5.3e-05,12.834,0.404,-0.437,2754.228703,557.0825115,463.3610506,4995.0,3.35,Kepler,1.32,YES,2128901871432519936
83,Kepler-47 b,NGC 6811         ,Group 5603,49.4643,0.0081,0.0074,3.05,0.04,-0.04,691.8309709,139.9328002,116.3910336,,,Kepler,0.96,NO,2080506523540902912
84,Kepler-47 c,NGC 6811         ,Group 5603,303.227,0.062,0.027,4.65,0.09,-0.07,691.8309709,139.9328002,116.3910336,,,Kepler,0.96,NO,2080506523540902912
85,Kepler-47 d,NGC 6811         ,Group 5603,187.366,0.069,0.051,7.04,0.66,-0.49,691.8309709,139.9328002,116.3910336,,,Kepler,0.96,NO,2080506523540902912
86,Kepler-508 b,                 ,Group 1478,25.30889748,5.75e-05,5.75e-05,1.64,0.26,-0.19,2344.228815,409.999888,348.9665004,6025.0,4.3,Kepler,1.16,YES,2078008703696509056
87,Kepler-52 b,                 ,Group 520,7.8773565,3.8e-05,3.8e-05,2.1,,,181.9700859,52.45279567,40.7163314,4075.0,4.74,Kepler,0.54,NO,2133589776693414016
88,Kepler-52 c,                 ,Group 520,16.3850021,0.00014,0.00014,1.84,,,181.9700859,52.45279567,40.7163314,4075.0,4.74,Kepler,0.54,NO,2133589776693414016
89,Kepler-52 d,                 ,Group 520,36.445171,0.000253,0.000253,1.95,0.21,-0.21,181.9700859,52.45279567,40.7163314,4263.0,4.73,Kepler,,NO,2133589776693414016
90,Kepler-66 b,NGC 6811         ,Group 5603,17.815815,7.5e-05,7.5e-05,2.8,0.16,-0.16,691.8309709,139.9328002,116.3910336,5962.0,4.48,Kepler,1.04,YES,2128198836827103616
91,Kepler-67 b,NGC 6811         ,Group 5603,15.7259,0.00011,0.00011,2.94,0.16,-0.16,691.8309709,139.9328002,116.3910336,5331.0,4.59,Kepler,0.86,YES,2128112181565948800
92,Kepler-968 b,                 ,Group 520,3.69298373,3.61e-06,3.61e-06,2.0,0.08,-0.08,181.9700859,52.45279567,40.7163314,4598.0,4.63,Kepler,0.76,Excluded,2132152474478407040
93,Kepler-968 c,                 ,Group 520,5.70940492,9.54e-06,9.54e-06,1.69,0.08,-0.07,181.9700859,52.45279567,40.7163314,4598.0,4.63,Kepler,0.76,Excluded,2132152474478407040
94,TOI-1227 b,eps Cha          ,Group 64,27.36397,0.00011,0.00011,9.572,0.751,-0.583,18.19700859,3.680607653,3.061396102,3072.0,,TESS,0.17,YES,5842480953772012928
